idaccess,timestamp,user
421,1556823677,Carro
422,1556837729,Victor
423,1556842049,Fabio
424,1556871655,Victor
425,1556883802,Carro
426,1556886271,Carro
427,1556891937,Sabrina
428,1556894261,Fabio
429,1556897921,Carro
430,1556903502,Carro
431,1556925325,Sabrina
432,1556927067,Fabio
433,1556969598,Victor
434,1556969601,Victor
435,1556969622,Victor
436,1556969689,Victor
437,1556969706,Victor
438,1556969711,Victor
439,1556969730,Victor
440,1556976058,Victor
441,1556976144,Victor
442,1556976625,Victor
443,1556977459,Victor
444,1556987610,Carro
445,1557131125,Victor
446,1557142104,Carro
447,1557144689,Carro
448,1557144691,Carro
449,1557156471,Carro
450,1557157103,Fabio
451,1557158113,Carro
452,1557181914,Victor
453,1557182250,Carro
454,1557188967,Fabio
455,1557192386,Carro
456,1557224117,Carro
457,1557233006,Carro
458,1557244289,Fabio
459,1557254308,Victor
460,1557270924,Sabrina
461,1557282722,Fabio
462,1557303689,Victor
463,1557316901,Sabrina
464,1557324393,Carro
465,1557327838,Fabio
466,1557356421,Sabrina
467,1557361890,Fabio
468,1557401113,Carro
469,1557401167,Carro
470,1557401193,Carro
471,1557402687,Carro
472,1557413621,Fabio
473,1557418758,Carro
474,1557428082,Carro
475,1557443204,Fabio
476,1557488562,Carro
477,1557495314,Carro
478,1557497681,Fabio
479,1557528623,Victor
480,1557530812,Fabio
481,1557589462,Victor
482,1557589466,Victor
483,1557589737,Victor
484,1557589746,Victor
485,1557589748,Victor
486,1557589751,Victor
487,1557589762,Victor
488,1557589764,Victor
489,1557589768,Victor
490,1557589771,Victor
491,1557589777,Victor
492,1557589780,Victor
493,1557589791,Victor
494,1557589805,Victor
495,1557589809,Victor
496,1557590119,Victor
497,1557324393,Carro
498,1557327838,Fabio
499,1557356421,Sabrina
500,1557361890,Fabio
501,1557401113,Carro
502,1557401167,Carro
503,1557401193,Carro
504,1557402687,Carro
505,1557413621,Fabio
506,1557418758,Carro
507,1557428082,Carro
508,1557443204,Fabio
509,1557488562,Carro
510,1557495314,Carro
511,1557497681,Fabio
512,1557528623,Victor
513,1557530812,Fabio
514,1557589462,Victor
515,1557589466,Victor
516,1557589737,Victor
517,1557589746,Victor
518,1557589748,Victor
519,1557589751,Victor
520,1557589762,Victor
521,1557589764,Victor
522,1557589768,Victor
523,1557589771,Victor
524,1557589777,Victor
525,1557589780,Victor
526,1557589791,Victor
527,1557589805,Victor
528,1557589809,Victor
529,1557590119,Victor
530,1557736101,Victor
531,1557758822,Fabio
532,1557786190,Victor
533,1557786411,Carro
534,1557789585,Carro
535,1557789692,Carro
536,1557789797,Carro
537,1557791622,Fabio
538,1557795012,Carro
539,1557828829,Victor
540,1557839756,Fabio
541,1557842855,Fabio
542,1557848174,Fabio
543,1557880519,Fabio
544,1557589462,Victor
545,1557589466,Victor
546,1557589737,Victor
547,1557589746,Victor
548,1557589748,Victor
549,1557589751,Victor
550,1557589762,Victor
551,1557589764,Victor
552,1557589768,Victor
553,1557589771,Victor
554,1557589777,Victor
555,1557589780,Victor
556,1557589791,Victor
557,1557589805,Victor
558,1557589809,Victor
559,1557590119,Victor
560,1557736101,Victor
561,1557758822,Fabio
562,1557786190,Victor
563,1557786411,Carro
564,1557789585,Carro
565,1557789692,Carro
566,1557789797,Carro
567,1557791622,Fabio
568,1557795012,Carro
569,1557828829,Victor
570,1557839756,Fabio
571,1557842855,Fabio
572,1557848174,Fabio
573,1557880519,Fabio
